#(This file contains Japanese character set JISX0208.)

# 
# Optional Japanese Kanji Font (JISX0208) List
#    The following is a list of Japanese Kanji font files in TrueType format 
#

#      L     M     B     E     H
#  W:  3  4  5  6  7  8  9 10 11 12 
#      m  o  p     s     v     x  z


# FONT-NAME                             FILE-NAME	TeX-FONT-NAME

### 富士通 FontCity 2
明朝体L					f5ajcfm2.ttf	fjminmaa
明朝体B					f5ajcfm8.ttf	fjminsaa
平成明朝体				f5ajchm3.ttf	fjhsmmaa
平成中太明朝体				f5ajchm6.ttf	fjhsmraa
平成極太明朝体				f5ajchm9.ttf	fjhsmvaa
ゴシック体L				f5ajcfg3.ttf	fjgotmaa
ゴシック体M				f5ajcfg7.ttf	fjgotpaa
ゴシック体B				f5ajcfg9.ttf	fjgotsaa
ゴシック体H				f5ajcfgd.ttf	fjgotxaa
平成角ゴシック体			f5ajchg5.ttf	fjhsgpaa
平成中太ゴシック体			f5ajchg7.ttf	fjhsgsaa
平成極太角ゴシック体			f5ajchg9.ttf	fjhsgvaa
丸ゴシック体L				f5ajcfr3.ttf	fjmrgmaa
丸ゴシック体M				f5ajcfr5.ttf	fjmrgpaa
丸ゴシック体B				f5ajcfr7.ttf	fjmrgsaa
丸ゴシック体H				f5ajcfrd.ttf	fjmrgxaa
平成丸ゴシック体			f5ajchr4.ttf	fjhrgoaa
重ね丸ゴシック体H			f5ajckrh.ttf	fjashxaa
教科書体L				f5ajcky1.ttf	fjkykmaa
教科書体M				f5ajcky2.ttf	fjkykpaa
ふで楷書体				f5ajcfdk.ttf	fjfdkmaa
行楷書体				f5ajcgyk.ttf	fjgykmaa
隷書体					f5ajcrei.ttf	fjreipaa
勘亭流江戸文字				f5ajcked.ttf	fjkedxaa
ひげ文字				f5ajchig.ttf	fjhigxaa
高橋隷書体				f5ajctre.ttf	fjtrepaa
淡古印体				f5ajctko.ttf	fjtkosaa
千葉ペン字体				f5ajccpe.ttf	fjcpemaa
筆記体					f5ajchik.ttf	fjhikmaa
まる文字				f5ajcmar.ttf	fjmarpaa
イーマ108				f5ajci18.ttf	fjimapaa
イーマ205				f5ajci25.ttf	fjimbmaa
イーマ310				f5ajci3a.ttf	fjimcraa
イーマ407				f5ajci47.ttf	fjimdsaa
イーマ513				f5ajci5d.ttf	fjimevaa
FCイラスト				f5ajcsxx.ttf	fjcsxmaa
かな書体01				f5ajck01.ttf	fjkanaxa
かな書体02				f5ajck02.ttf	fjkanaxb
かな書体03				f5ajck03.ttf	fjkanaxc
かな書体04				f5ajck04.ttf	fjkanaxd
かな書体05				f5ajck05.ttf	fjkanaxe
かな書体06				f5ajck06.ttf	fjkanaxf
かな書体07				f5ajck07.ttf	fjkanaxg
かな書体08				f5ajck08.ttf	fjkanaxh
かな書体09				f5ajck09.ttf	fjkanaxi
かな書体10				f5ajck10.ttf	fjkanaxj
かな書体11				f5ajck11.ttf	fjkanaxk
かな書体12				f5ajck12.ttf	fjkanaxl
かな書体13				f5ajck13.ttf	fjkanaxm
かな書体14				f5ajck14.ttf	fjkanaxn
かな書体15				f5ajck15.ttf	fjkanaxo
かな書体16				f5ajck16.ttf	fjkanaxp
かな書体17				f5ajck17.ttf	fjkanaxq
かな書体18				f5ajck18.ttf	fjkanaxr
かな書体19				f5ajck19.ttf	fjkanaxs
かな書体20				f5ajck20.ttf	fjkanaxt


### DynaFont Type Museum
DFP新篆体W5				dfsht5.ttc	dfshtpaa
DFP新篆体W7				dfsht7.ttc	dfshtsaa
DFP欧陽詢体W5				dfoyj5.ttc	dfoyjpaa
DFP龍門石碑体W9				dfrys9.ttc	dfrysvaa
DFP顏真卿体W7				dfgsk7.ttc	dfgsksaa
DFP宗楷書W7				dfskai7.ttc	dfskasaa
DFP超極太楷書体				dfkaie.ttc	dfkaizaa
DFP金文体W3				dfkbt3.ttc	dfkbtmaa
DFPクラフト童W3				dfcrd3.ttc	dfcrdmaa
DFPフリー流線W3				dffrs3.ttc	dffrsmaa
DCP方隷書W3				dchlei5.ttc	dfhlepaa
DCP麗楷書W5				dclkai5.ttc	dflkapaa
DCP籠文字W12				dckgmc.ttc	dfkgmzaa
DCPひげ文字W5				dchgm5.ttc	dfhgmpaa
DCP寄席文字W7				dcysm7.ttc	dfysmsaa
DCP愛W5					dcai5.ttc	dfainpaa
DCP愛ラインW5				dcail5.ttc	dfailpaa
DCP愛シャドーW5				dcais5.ttc	dfaispaa
DCPクリスタルW5				dccry5.ttc	dfcrypaa
DCPインラインW5				dcinl5.ttc	dfinlpaa
DFP極太明朝体				dfminc.ttc1	dfminyaa
DFP超極太明朝体				dfmine.ttc	dfminzaa
DFP特太ゴシック体			dfheia.ttc	dfgotwaa
DFP極太ゴシック体			dfheic.ttc	dfgotxaa
DFP超極太ゴシック体			dfheie.ttc	dfgotzaa
DFP細丸ゴシック体			dfmrg2.ttc	dfmrgkaa
DFP新細丸ゴシック体			dfmrg3.ttc	dfmrgmaa
DFP中丸ゴシック体			dfmrg5.ttc	dfmrgpaa
DFP中太丸ゴシック体			dfmrg7.ttc	dfmrgsaa
DFP太丸ゴシック体			dfmrg9.ttc	dfmrgvaa
DFP極太丸ゴシック体			dfmrgc.ttc	dfmrgyaa
DFP超極太丸ゴシック体			dfmrge.ttc	dfmrgzaa
DFP行書体				dfgys3.ttc	dfgysmaa
DFP祥南行書体W5				dfsgyo5.ttc	dfsgypaa
DFP細楷書体				dfkai3.ttc	dfkaimaa
DFP中楷書体				dfkai5.ttc	dfkaipaa
DFP中太楷書体				dfkai7.ttc	dfkaisaa
