#-
# for the "comic-jp" font class
#-
# Font	 	Kanji		Hira-Kana	Kata-Kana	etc
jpcomic		dfhsgmaa	dfhsmpaa	dfhsmpaa	dfhsgmaa
fjkanaza	goth10		fjkanaxa	fjkanaxa	goth10 # 01
fjkanazb	goth10		fjkanaxb	fjkanaxb	goth10 # 02
fjkanazc	goth10		fjkanaxc	fjkanaxc	goth10 # 03
fjkanazd	goth10		fjkanaxd	fjkanaxd	goth10 # 04
fjkanaze	goth10		fjkanaxe	fjkanaxe	goth10 # 05
fjkanazf	goth10		fjkanaxf	fjkanaxf	goth10 # 06
fjkanazg	goth10		fjkanaxg	fjkanaxg	goth10 # 07
fjkanazh	goth10		fjkanaxh	fjkanaxh	goth10 # 08
fjkanazi	goth10		fjkanaxi	fjkanaxi	goth10 # 09
fjkanazj	goth10		fjkanaxj	fjkanaxj	goth10 # 10
fjkanazk	goth10		fjkanaxk	fjkanaxk	goth10 # 11
fjkanazl	goth10		fjkanaxl	fjkanaxl	goth10 # 12
fjkanazm	goth10		fjkanaxm	fjkanaxm	goth10 # 13
fjkanazn	goth10		fjkanaxn	fjkanaxn	goth10 # 14
fjkanazo	goth10		fjkanaxo	fjkanaxo	goth10 # 15
fjkanazp	goth10		fjkanaxp	fjkanaxp	goth10 # 16
fjkanazq	goth10		fjkanaxq	fjkanaxq	goth10 # 17
fjkanazr	goth10		fjkanaxr	fjkanaxr	goth10 # 18
fjkanazs	goth10		fjkanaxs	fjkanaxs	goth10 # 19
fjkanazt	goth10		fjkanaxt	fjkanaxt	goth10 # 20
#-
